Date,Open,High,Low,Close,Adj Close,Volume
2012-12-13,6768.189941,6807.770020,6730.430176,6751.859863,6751.859863,0
2012-12-14,6752.120117,6786.759766,6725.950195,6755.350098,6755.350098,0
2012-12-17,6750.029785,6791.560059,6733.430176,6774.240234,6774.240234,0
2012-12-18,6774.640137,6848.359863,6772.620117,6848.359863,6848.359863,0
2012-12-19,6848.359863,6879.850098,6823.310059,6864.720215,6864.720215,0
2012-12-20,6864.049805,6886.169922,6835.649902,6885.709961,6885.709961,0
2012-12-21,6885.600098,6886.020020,6814.089844,6866.490234,6866.490234,0
2012-12-26,6885.609863,6900.180176,6855.790039,6877.779785,6877.779785,0
2012-12-27,6879.600098,6921.319824,6869.720215,6891.509766,6891.509766,0
2012-12-28,6891.660156,6957.520020,6891.660156,6954.270020,6954.270020,0
2013-01-02,6956.310059,7085.689941,6956.310059,7073.890137,7073.890137,0
2013-01-03,7074.470215,7114.350098,7058.089844,7103.240234,7103.240234,0
2013-01-04,7103.330078,7103.330078,7026.560059,7062.149902,7062.149902,0
2013-01-07,7062.149902,7063.109863,6961.959961,7010.390137,7010.390137,0
2013-01-08,7010.410156,7020.910156,6920.680176,6933.299805,6933.299805,0
2013-01-09,6933.620117,7008.069824,6919.189941,6996.540039,6996.540039,0
2013-01-10,6996.790039,7013.770020,6924.399902,7002.169922,7002.169922,0
2013-01-11,7002.109863,7010.140137,6945.910156,6977.939941,6977.939941,0
2013-01-14,6978.220215,7027.299805,6964.700195,7003.310059,7003.310059,0
2013-01-15,7003.430176,7003.430176,6949.410156,6956.120117,6956.120117,0
2013-01-16,6955.919922,6984.450195,6941.020020,6984.450195,6984.450195,0
2013-01-17,6984.649902,7060.740234,6968.279785,7060.740234,7060.740234,0
2013-01-18,7060.520020,7082.430176,7014.399902,7047.740234,7047.740234,0
2013-01-21,7047.939941,7082.009766,7040.240234,7074.109863,7074.109863,0
2013-01-22,7074.259766,7090.600098,7023.330078,7030.709961,7030.709961,0
2013-01-23,7030.709961,7101.850098,7021.069824,7101.100098,7101.100098,0
2013-01-24,7101.060059,7137.279785,6997.870117,7027.259766,7027.259766,0
2013-01-28,7027.459961,7054.580078,6949.180176,6964.649902,6964.649902,0
2013-01-29,6964.600098,7034.669922,6952.410156,7033.720215,7033.720215,0
2013-01-30,7032.990234,7032.990234,6930.350098,6981.709961,6981.709961,0
2013-01-31,6980.799805,7028.859863,6950.399902,7028.859863,7028.859863,0
2013-02-01,7029.879883,7089.240234,7023.890137,7079.109863,7079.109863,0
2013-02-04,7078.790039,7078.790039,7011.060059,7050.799805,7050.799805,0
2013-02-05,7050.799805,7090.640137,7034.629883,7074.290039,7074.290039,0
2013-02-06,7073.560059,7086.390137,7002.040039,7061.060059,7061.060059,0
2013-02-07,7061.060059,7086.740234,6977.859863,7016.859863,7016.859863,0
2013-02-08,7017.100098,7029.109863,6956.609863,6980.370117,6980.370117,0
2013-02-13,6980.140137,7028.779785,6979.229980,7007.770020,7007.770020,0
2013-02-14,7008.149902,7008.149902,6956.089844,6997.470215,6997.470215,0
2013-02-15,6997.350098,6997.529785,6924.979980,6931.790039,6931.790039,0
2013-02-18,6932.240234,6950.310059,6865.270020,6886.890137,6886.890137,0
2013-02-19,6886.540039,6958.609863,6876.509766,6885.520020,6885.520020,0
2013-02-20,6885.520020,6915.669922,6793.330078,6814.200195,6814.200195,0
2013-02-21,6814.160156,6843.779785,6747.850098,6810.470215,6810.470215,0
2013-02-22,6810.609863,6874.640137,6789.600098,6873.319824,6873.319824,0
2013-02-25,6874.140137,6939.040039,6857.899902,6893.859863,6893.859863,0
2013-02-26,6893.819824,6949.040039,6855.729980,6934.000000,6934.000000,0
2013-02-27,6933.910156,6992.490234,6931.959961,6975.379883,6975.379883,0
2013-02-28,6974.069824,7007.049805,6955.600098,6981.919922,6981.919922,0
2013-03-01,6981.640137,6981.640137,6884.770020,6936.819824,6936.819824,0
